Year,Date,Day of Week,Holiday,Category,Confidence,Notes
2008,2008-02-21 00:00:00,Thursday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2008,2008-03-26 00:00:00,Wednesday,Independence Day,National,Confirmed,
2008,2008-04-14 00:00:00,Monday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
2008,2008-05-01 00:00:00,Thursday,May Day (International Workers' Day),National,Confirmed,
2008,2008-08-15 00:00:00,Friday,National Mourning Day,National,Confirmed,Discontinued from 2024 by the interim government
2008,2008-08-18 00:00:00,Monday,Shab-e-Barat,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2008,2008-09-28 00:00:00,Sunday,Shab-e-Qadr (Laylat al-Qadr),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2008,2008-10-02 00:00:00,Thursday,Eid-ul-Fitr,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2008,2008-10-03 00:00:00,Friday,Eid-ul-Fitr Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2008,2008-10-04 00:00:00,Saturday,Eid-ul-Fitr Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2008,2008-10-09 00:00:00,Thursday,Durga Puja (Vijaya Dashami),Religious (Hindu),Confirmed,Main govt holiday day (Vijaya Dashami); some years add a 2nd day
2008,2008-11-07 00:00:00,Friday,National Revolution and Solidarity Day,National,Confirmed,Discontinued from 2024 by the interim government
2008,2008-12-09 00:00:00,Tuesday,Eid-ul-Adha,Religious (Islamic),Confirmed,Moon-sighting dependent; date may shift ±1 day
2008,2008-12-10 00:00:00,Wednesday,Eid-ul-Adha Holiday (2nd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2008,2008-12-11 00:00:00,Thursday,Eid-ul-Adha Holiday (3rd day),Religious (Islamic),Confirmed,Moon-sighting dependent
2008,2008-12-16 00:00:00,Tuesday,Victory Day,National,Confirmed,
2008,2008-12-25 00:00:00,Thursday,Christmas Day,Religious (Christian),Confirmed,
2008,2009-01-07 00:00:00,Wednesday,Ashura,Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2008,2009-03-09 00:00:00,Monday,Eid-e-Miladunnabi (Mawlid),Religious (Islamic),Estimated,Estimated from Hijri calendar offset; verify exact year's gazette
2009,2009-02-21 00:00:00,Saturday,Ekushey February (Language Movement / Martyrs' Day),National,Confirmed,
2009,2009-03-26 00:00:00,Thursday,Independence Day,National,Confirmed,
2009,2009-04-14 00:00:00,Tuesday,Bengali New Year (Pohela Boishakh),Cultural/National,Confirmed,
